"","No","date","jobtitle","company","city","state","job_summary"
"182","182","Sun, 19 Mar 2017 10:51:17 GMT","Data Analyst","The Walsh Group","Chicago","IL","Walsh is currently seeking a Data Analyst, primarily responsible for updating and maintaining the accuracy of all internal databases pertaining to the Equipment Department. This includes developing and implementing data collection systems and other strategies that optimize statistical efficiency and data quality. In addition, this position will be responsible for identifying reporting discrepancies by performing regular audits and initiate corrections when necessary.
Walsh is a rapidly growing, highly diversified construction company, and we constantly seek builders and business people to join our industry-leading team. Walsh employees are ""built to succeed"" - competitive entrepreneurs with strong character who are energized by working on a team to meet challenges and are willing to take risks after careful planning. There are many compelling reasons why exceptional people should consider a career with our company: Challenging, complex projects Creative and innovative problem solving environment Supportive, communicative managers who reward your success Opportunities for growth, training, and development Flexibility to build what you want, where you want
Responsibilities:
Develops efficient methods of obtaining data from core operational / reporting systems using MS Excel, SQL, or Business Intelligence software
Compiles and analyzes operational and transactional data and creates high level reports of performance results, including trend analysis, status of major initiatives, and escalating issues
Identifies data issues, leads efforts to understand cause, business impact, and facilitates resolution
Provides mentoring on data architecture design and requirements within the team to help define processes and recommend operational changes
Works closely with manager to develop MS Excel, or Oracle Discover reports to prioritize business and information needs
Provides ad hoc reporting / analytics in support of strategic initiatives
Gathers and analyzes telematics data, specifically from Telogis, Drive Cam, and machine manufacturer solutions
Qualifications:
A Bachelor's Degree with a minimum 1-3 years of work experience in database management and SQL coding
Advanced MS Excel and SQL skills
Experience using Business Intelligence (BI) tools such as Business Objects and Oracle Discoverer
Ability to document and analyze data flows in a clear manner
Ability to work with various information systems and large and complex data files, transforming raw data into finished products
Strong mathematical and analytical skills with the ability to present data in a concise and thorough manner
Organizational skills with a focus on best practices and proper documentation
Excellent written and oral communication and interpersonal skills
Detail oriented person who is comfortable extracting solid business analysis from large volumes of data
Entrepreneurial mentality with the ability to work in âwhite spaceâ to create new solutions
Self-motivated individual who can perform with limited direction and who is capable of creating their own action plans to meet department and corporate objectives"
"183","183","Tue, 07 Feb 2017 17:04:23 GMT","People Analyst","Tesla Motors","Fremont","CA","The Role

As an Analyst on the People Analytics team, You must be eager to solve problems and have a strong interest in gleaning insights from analysis and using those insights to influence decisions made by Tesla leadership. Additionally, you should be able to handle multiple high-impact projects simultaneously in a fast-paced, rapidly changing environment. While working with us, you'll develop your data management, analytics and project management skills as you become part of the dynamic world of Tesla.
Responsibilities
Become an expert in all HR data
Build reports and dashboards to give stakeholders visibility into relevant metrics
Develop and analyze large data sets
Present recommendations on initiatives and influence stakeholders through data and thoughtful interpretation of findings
Design and conduct research to evaluate effectiveness of new initiatives in evaluation, reporting, and analysis to understand effectiveness of new initiatives and identify trends.
Partner with the HRIS team to maintain HR databases, audit data, prepare reports, propose business process improvements and automation
Perform as an internal consultant to varying business groups (finance, legal, operations, etc.) on all people related matters
Requirements
1-4 years of relevant work experience
Bachelors Degree and/or the equivalent in relevant work experience
Evidence of exceptional ability
Excellent Microsoft Excel and Visualization skills (Tableau etc.)
Data-driven and highly analytical, and able to translate data and trends into powerful strategies and compelling messaging
Ability to self-start and self-direct work in an unstructured environment, and comfortable dealing with ambiguity
Excellent communication skills and solutions and client service-oriented, with an emphasis on creativity and diligence.
Desired
Familiarity with SQL, R, SPSS (or other statistical packages)
Familiarity with writing scripts, visual basic, basic coding (HTML)"
"184","184","Tue, 07 Feb 2017 17:04:23 GMT","Logistics Financial Analyst","Tesla Motors","Fremont","CA","The Role

The individual in this role will deliver financial audit and analytic support for Tesla Motors' Global Logistics team. Focus will include freight invoice audit supporting payment approval, financial reporting, waste reduction opportunities trade compliance costs, and logistics network optimization.

Responsibilities
Acquire, consolidate, audit, and facilitate payment approval for freight invoices.
Assist in developing specifications for logistics quote packages, vetting suppliers, and making sourcing recommendations.
Lead the collaboration with Finance for transportation contracts, cost accruals, and invoice payments.
Support the timely audit and payment of logistics invoices.
Support the Finance group with logistics information for the monthly and quarterly close processes.
Support Tesla Motors Global Logistics team in developing optimal logistics Transportation and Warehouse Management Systems (TMS/WMS).
Assist in the creation, execution, and compliance management of the foreign trade zone, customs bonds, customs clearance, and taxes and duties.
Utilize enterprise cost mindset to continuously improve cost and quality for the global material, service, and product distribution network.
Develop and maintain key metrics and executive dashboard on freight invoice payment, logistics cost performance, and cost improvement roadmap actions.
Deliver in-depth analysis of logistics network to data-mine opportunities for cost improvement actions.
Maintain high standards of housekeeping throughout the work area.
Maintain a positive working relationship with all levels of the organization.
Identify & execute opportunities to increase bandwidth through automation and streamlining of business processes.
Assure compliance with federal, state, local, and corporate policies, regulations, and laws.
Maintain organized project records and documentation in compliance with local records retention policies.
Support the Companyâs mission, vision, values and goals in performance of daily activities.

Requirements
Bachelorâs Degree in related field of study or relevant experience or the equivalent in experience and exceptional ability.
Understanding of financial and accounting concepts and procedures within a manufacturing environment.
Exceptional analytical skills with regards to logistics analysis, data manipulation, and the ability to create information from data.
Knowledge of purchasing processes (SOP's, RFQ's, PO's, Invoicing, etc.)
Ability to define problems, collect relevant data, extract meaning from the data, and draw valid conclusions.
Advanced proficiency in Microsoft Office software.
Experienced with ERP software.
Ability to communicate clearly to technical and non-technical audiences.
Capable of creating written reports, proposals, processes, and project documentation.
Ability to work in a fast paced environment and deliver high quality results.
Independent self-starter with history of ownership and accountability of project timeline and results."
"185","185","Sun, 19 Mar 2017 05:04:21 GMT","Data Analyst","PlaceIQ","New York","NY","About the Company:
PlaceIQ is a powerful, location-based audience and insights platform that organizes a wide variety of consumer activity data around a precise location base map at massive scale. PlaceIQ uses its detailed understanding of location and consumer activity to reach a targeted audience, and also to derive powerful insights about consumer behavior to inform market and business strategies for national brands. The company is headquartered in New York City and has offices in Palo Alto, Chicago, and Detroit.
The Role:
As a Data Analyst at PlaceIQ, you will define, interpret and evaluate PlaceIQ Audience products and the data that powers them. The ideal candidate will apply a unique blend of analytical and creative skills to develop hypotheses, solve problems and contribute to the growth and composition of PlaceIQâs suite of audience products. A Data Analyst will leverage requirements from different business inputs to analyze and deliver new audiences, as well as identify opportunities to improve existing ones.
Key Responsibilities:
Analyze different types of data geospatially to derive insights about relationships between locations, statistical measurements and qualitatively assess the data
Create audiences with ranging complexities and a variety of defining data types using our custom suite of tools
Conduct detailed audience analysis, perform database queries and reviews of test results to validate, identify issues and formulate remediation plans for improvement
Identify and align opportunities for improvement with business cases and data quality goals
Coordinate with cartography analysts to evaluate and scope data for new audience requests
Generate and communicate reports on audiences and other findings in different formats
Participate in data management and audience initiatives involving multiple customers and provide subject matter expertise
Requirements:
Experience with SQL as well as scripting languages such as Python for manipulating data preferred
Experience with location-based or geospatial data preferred
Experience with data analysis balancing the creative and the pragmatic
Experience in market research, working with consumer analytics, insights and use cases preferred
Knowledge of demographics, market segmentation and/or a background in cultural anthropology
Business solution development â ability to ramp up quickly on marketing / audience domain
Highly effective written and verbal skills, experience generating and presenting content. Technical writing a bonus
Experience working in an Agile environment a bonus"
"186","186","Wed, 15 Mar 2017 19:51:00 GMT","Data Analytics and Support Intern","Parametric","Seattle","WA","At Parametric, we offer competitive salaries, generous benefits and opportunities for growth and development. We invite you to explore our available job opportunities listed below and look forward to having you become a part of our continued success!

General Description
The Internâs primary project will involve the migration of performance data from numerous Excel spreadsheets to a comprehensive Access database. Responsibilities will also include providing support to the Data & Analytics Support team by working on ad hoc projects that support the teamâs ongoing efforts to improve efficiency. The team, in conjunction with Sales Support & Performance, serves as the hub through which strategy level performance, related analysis, and firm-level data is compiled and disseminated to both internal and external clients in response to due diligence requests.

Primary Responsibilities
Assist with compilation, organization, and audit of historical performance and other account data
Assist with designing framework for new database and identifying the data required to produce the desired output
Compile account level performance, gain/loss, and other data points from Excel and various systems for upload into Access database
Compare output of Access database (composite performance and statistics) against historic performance files
Assist in buildout and maintenance of content in teamâs Data Repository (a SharePoint intranet site).
Assist in database audit and content review project.
Assist with ad hoc data requests in support of team
Acquire and organize internal data to support ad hoc projects and decision making as needed.
Assume other responsibilities as required.

Job Requirements
Junior progressing towards a Bachelorâs degree in Finance, Economics, or a related discipline; supplemental coursework or training in computer science would also be beneficial
Proficient with Microsoft Excel and Access; knowledge of SQL and VBA/macros preferred
Familiarity with Advent a plus but not required
Knowledge of and interest in financial services field
Ability to work independently under tight deadlines
Strong time management and organizational skills
Good verbal and written communication skills with high attention to detail

Parametric is an equal opportunity employer and is committed to providing a work environment that is free of discrimination and harassment. It does not discriminate against applicants or employees with respect to any terms or conditions of employment on account of race, color, religion, creed, national origin, ancestry, sex, sexual orientation, age, pregnancy, physical or mental disability (actual or perceived), medical condition including genetic characteristics, marital status, citizenship status, military service, gender, gender identity, registered domestic partner status, domestic violence victim status, or any other characteristic protected by applicable federal, state or local laws. Parametric also prohibits discrimination based on the perception that a person has any of those characteristics or is associated with a person who has or is perceived as having any of those characteristics. This commitment applies to all persons involved in the operations of Parametric, and prohibits unlawful discrimination by any employee of Parametric, including supervisors and co-workers. All employment decisions shall be consistent with the principles of equal employment opportunity.

The information on this website is for U.S. residents only and does not constitute an offer to sell, or a solicitation of an offer to purchase, securities in any jurisdiction to any person to whom it is not lawful to make such an offer. Investing entails risks and there can be no assurance that Parametric (and its affiliates) will achieve profits or avoid incurring losses. All investments are subject to potential loss of principal. Parametric does not provide tax or legal advice. Prospective investors should consult with a tax or legal advisor before making any investment decision. Please refer to the disclosure page for important information about investments and risks."
"187","187","Mon, 13 Mar 2017 21:20:57 GMT","Data Analytics Analyst","Orange People","Plano","TX","OrangePeople provides innovative and cutting edge solutions to a number of clients. Our developers are among the brightest in the industry, building and supporting new applications at a rapid pace. As we gain continued momentum our teams are expanding. Hereâs your opportunity to join our fast paced and agile onsite consulting team!

We are currently hiring a Data Analytics Analyst to provide data analytics and predictive modeling support.
Must Haves:
Data mining skills and predictive modeling techniques
Strong SAS programming
Strong Excel modeling (v-look ups, pivots, no macros needed)
4+ years of predictive analytics work in finance, marketing, customer service
Interacting with offshore analysts
Understanding of business objectives and model documentation of processes
Management of timelines for deliverables
The ideal candidate will have a masterâs degree in Business, Science or engineering, from a top tier university
Additional Responsibilities:
Participate in OrangePeople monthly team meetings, and participate in team building efforts.
Contribute to OrangePeople technical discussions, peer reviews, etc.
Contribute content and collaborate via the OP-Wiki/Knowledge Base.
Provide status reports to OP Account Management as requested
About us:
Orange People is an Enterprise Architecture and Project Management solutions company. Our most valuable asset is our people: dynamic, creative thinkers who are passionate about doing quality work. As a member of the Orange People team you will have access to industry-leading consulting practices, strategies & technologies, innovative training & education. An ideal Orange Person is a technology leader with a proven track record of technical achievements and strong process/methodology orientation."
"188","188","Mon, 13 Mar 2017 21:58:48 GMT","Sr. Data Analyst - Shopper Analytics","Kantar Retail","Norwalk","CT","Kantar Retail is seeking a Sr. Data Analyst youâll utilize database technologies to develop data driven insights to help inform client strategies and tactics. Youâll be working with a very large proprietary database of shopper loyalty card data to support decisions in areas such as merchandising, shelving, assortment and distribution. You will also contribute to client inquiries and projects create reports and presentations and deliver key findings from your work. You will gain fantastic exposure to the CPG industry while honing your technical programming knowledge digging and unearthing the data of 50 Million households.

KEY OUTCOMES
As a Senior Data Analyst you will:
Design analytic approaches to answer clientâs business questions and uncover insights by utilizing big data, technical programming and scripting knowledge.
Communicate findings and data-driven recommendations to internal Consultants, Sr Managers and directly to clients. Will become knowledgeable on market structure development, shopper decision trees, basket analysis, and loyalty analysis.
Manage 4-5 projects at a time while adapting to competing priorities and ever-changing client needs.

CAPABILITIES
To succeed in this role, youâll have:
1-2 yearsâ hands-on experience working with large datasets utilizing SQL
Ability to translate analytics into clear, practical findings that can be presented to client teams
Proven project and client communication experience, with demonstrated ability to create reports, respond to requests and deliver presentations
Experience with CPG data preferred (e.g., sales data, shopper panel data, transaction data, other types of purchase data).

About Kantar Retail

Kantar Retail is the world's leading retail insights and consulting business. The company works with leading retailers and branded manufacturers to transform the purchase behavior of consumers, shoppers and retailers. Kantar Retail is headquartered in London and has over 400 employees and offices in 15 markets around the globe.

kantarretail.com"
"189","189","Sat, 25 Feb 2017 02:24:18 GMT","Analytics Consultant","Tiger Analytics","Fort Myers","FL","Tiger Analytics is an advanced analytics consulting firm enabling enterprises to generate business value from data. Today, we are the trusted data sciences and data engineering partner for several Fortune 100 companies, who are leaders in their respective industries. We bring deep expertise in marketing science, customer analytics, operations & planning analytics, and risk analytics. In addition to our headquarters in the Silicon Valley and our global delivery center in Chennai, India, our consultants work from various client offices in the US.
We are looking for an Analytics Consultant to be based out of Fort Myers, FL. As an Analytics Consultant, you will work on some of the latest applications of data science to business. You will directly work with key client stakeholders to define the business problem and determine solution requirements. Subsequently you will work alongside data scientists in your team and to build an analytics solution approach. You will be responsible for ensuring business value and communicating results, making executing presentations etc.
If you are passionate to work on unstructured business problems that can be solved using data, we would like to talk to you. Designation and compensation offered will be commensurate with your expertise / experience.
Requirements:4+ years of experience working in an analytics heavy setting. Exposure to analytics consulting and client management is a plus.
Ability to understand clientâs business, tackle complex business problems along with strong team management and project management skills.
Very comfortable with a statistical programming language (e.g. R, SAS or Python), SQL, and developing statistical/machine learning solutions
Ability to summarize data science results into meaningful business presentations. Experience in Retail or CPG domain is a plus.
Graduate degree with an emphasis on quantitative analysis (e.g. Quant MBA, Statistics, Engineering, Economics etc.)
Benefits:
Significant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, challenging, and entrepreneurial environment, with a high degree of individual responsibility."
"190","190","Wed, 08 Mar 2017 19:11:03 GMT","Data Analyst","Reeher","Saint Paul","MN","Business Description

Reeher (www.reeher.com) provides a Software-as-a-Service (SaaS) solution, called the Reeher Platform, which helps leading universities achieve their fundraising goals. Reeherâs accelerated growth over the last couple of years has attracted some of the biggest names in university fundraising as customers. In addition, Reeher was recently recognized as one of the top 50 fastest growing companies in the Twin Cities by the Minneapolis St. Paul Business Journal.

We believe our recent growth in attracting leading universities puts us in a great position to accelerate our growth over the coming years. The right candidate will have an excellent opportunity to grow with the company.
Job Description:
We are looking for an analyst to work on customer business problems. This job includes two key focuses, that of customer implementations onto the Reeher platform and the application of quantitative methods to diagnose a situation so that a course for action can be developed. The role involves working directly with customers on their data feeds to Reeher and the review of research data, analysis of financial data and donor behavioral data. Furthermore, this position helps resolve technical solutions that relate to customer data issues that support the Reeher Platform service. This position will work closely with the Customer Success team providing our services, as well as input on the product development of our software services. It is an excellent position for a candidate looking for exposure to a broad range of business issues and enjoys interfacing with customers.

The ideal candidate will have an undergraduate degree with a strong quantitative orientation. Math, Statistics, Economics, or Finance would provide the right grounding in tools and principals. This person would already be a strong user of Excel, and if not proficient already, be interested in learning additional analytics tools (i.e. SPSS, SAS or SQL) that our firm uses in delivering its services. The candidate would also need to have strong team skills. The work environment is demanding and rewarding with opportunities for engagement across the organization.

The position will report to the VP, Customer Success.
Responsibilities Include:
Driving and project managing customer implementations

Applying statistic and analytic techniques to model, cluster, segment, mine, and forecast various types of information

Resolving data issues with both internal and external customers

Preparing data for analysis, validation and implementation

Analyzing constituent, market research, financial information with potential to present findings

Contributing to the quality of our products

Making and meeting commitments in delivery of our work
Skill Requirements Include:
Proficiency in Microsoft Excel and PowerPoint

Strong interpersonal and time management skills

Experience with SPSS or SAS is preferable

Familiarity with business intelligence tools and/or programming languages a plus

Experience with SQL or MySQL is preferable

Authorized to work in the US
Desired Qualities and Experience:
Candidates must be authorized to work in the US without the need for employer sponsorship in the next five years

Degree in statistics, economics, mathematics or other area of analytical study

1 year of experience

Strong team skills

Strong analytical and problem solving skills

Intellectual curiosity

Effective communication skills

Bachelor of Sciences or Bachelor of Arts

Interest in participating in the continued growth of our business"
"191","191","Mon, 13 Mar 2017 12:15:38 GMT","Management Analyst -Data Analytics","City of Portland, OR","Portland","OR","The City of Portland is seeking a Management Analyst in the Portland Bureau of Transportation (PBOT). The position is located within the Strategy, Innovation, and Performance division. The position will work as part of a team to advance strategic initiatives , implement innovative projects , and develop a comprehensive data management system . The position will be responsible for standardizing data collection and reporting, including researching and implementing current and emerging techniques in the field of open data , data analytics, and data visualization . The position must possess the skills necessary to manage large datasets, apply statistical analysis, and report findings using innovative and interactive reporting techniques.
The position will also assist the Senior Management analyst in engaging bureau staff around strategic planning, process improvement, program evaluation, creating performance dashboards, and incorporating performance data into decision making. Knowledge of financial/statistical/comparative analysis tools, techniques, and computer software appropriate for sophisticated statistical analysis and data management is preferred , but not required.

The Portland Bureau of Transportation is a community partner in shaping a livable city. We plan, build, manage and maintain an effective and safe transportation system that provides people and businesses access and mobility. We keep Portland moving. For more information about the Portland Bureau of Transportation, please visit www.portlandoregon.gov/pbot . The Portland Bureau of Transportation embraces diversity, models inclusivity, and promotes equity through its service delivery, internal operations, organizational culture, and in its work with partners and the community.
TO QUALIFY:
The following minimum qualifications are required for this position: Ability to collect, evaluate, and interpret data either in statistical or narrative form. Ability to analyze administrative, operational, procedural organizational problems, evaluate alternatives, and reach sound, logical, fact-based conclusions and recommendations. Ability to prepare clear, concise, and comprehensive reports, correspondence, and other documents appropriate to the audience. Knowledge of principles, practices, methods and techniques of data analysis.
THE RECRUITMENT PROCESS:
An evaluation of each applicant's training and experience, as demonstrated in their resume and cover letter, weighted 100%. Do not attach materials not requested . Only candidates who meet the minimum qualifications will be placed on the equally ranked eligible list. You have 14 days from the notice of the examination results to let us know if you disagree with your results. Please read the City of Portland Administrative Rule 3.01 for complete information. Additional evaluation may be required prior to establishment of the eligible list and/or final selection.
ADDITIONAL INFORMATION:
Application Instructions Applicants must submit a cover letter and professional resume online, specifically focused on your qualifications for this position as identified in the ""To Qualify"" section of this announcement in accordance with the following Application Instructions:

Your rÃ©sumÃ© and cover letter will be the basis for our evaluation of your qualifications for this position. Incomplete or inappropriate information may result in disqualification. Your cover letter should include details describing your education, training and/or experience, and where obtained which clearly reflects your qualifications for each of the numbered items in the ""To Qualify"" section of this announcement. Your resume should support the details described in the cover letter. If you are requesting Veteran's Preference, as identified below, please describe in your cover letter any transferrable skills obtained during your military service and how they relate to each of the required minimum qualifications under the ""To Qualify"" section above . Your rÃ©sumÃ© and cover letter should be no more than a total of four (4) pages combined. Do not attach materials not requested.
All completed applications for this position must be submitted no later than 4:30 pm, on the closing date of this recruitment. E-mailed and/or faxed applications will not be accepted .

If you are requesting Veteran's Preference , attach a copy of your DD214 / DD215 and / or Veteran's Administration Letter Stating your disability to your profile, as well as checking the box identifying yourself as a Veteran. You must request Veteran's Preference AND include a copy of your documentation for each recruitment you apply for.

Veteran's Preference documentation must be submitted no later than 4:30 PM on the closing date of this recruitment.

Non-citizen applicants must be authorized to work in the United States at time of application.
It is the policy of the City of Portland that no person shall be discriminated against based on race, religion, color, sex, marital status, family status, national origin, age, mental or physical disability, protected veteran status, sexual orientation, gender identity or source of income. The City values diversity and encourages everyone who is interested in employment with the City to apply. If you wish to identify yourself as an individual with a disability under the Americans With Disabilities Act of 1990 and will be requesting accommodation, the requests must be made to the Analyst(s) named below No Later Than the Closing Date of This Announcement.

Questions?
Emily Mavraganis Human Resources Analyst,
Bureau of Human Resources
(503) 823-3314
Emily.Mavraganis@PortlandOregon.gov"
"192","192","Tue, 21 Mar 2017 23:00:49 GMT","Data Scientist � All Levels","athenahealth, Inc.","Watertown","MA","Data Science - All Levels
About You: Ambitious, articulate and creative quant-geek. Loves analyzing big, messy data to uncover key business insights, and has the technical chops to extract data. Communicates findings simply, but no simpler. You pride yourself on not only being able to bring the right tools and methods to bear on problems, but to learn or even create new tools and methods when the need arises. However, at the end of the day, you care most about making a difference.
Keywords relevant to you:
Analytics, Big Data, Business Intelligence, Data Mining, Experimental Design, Predictive Modeling
Claims Data, Electronic Medical Records, Outcomes Research, Healthcare Economics and Policy, Health Information Technology, Healthcare Reform, Marketing
Economics, Statistics, Engineering, Computer Science
About Us: athenahealth is a pioneering company in electronic medical records and health practice management; all under a single-instance, cloud-based, software-enabled services platform. And culture is our greatest asset: energetic, forward thinking and supportive. On top of this culture, we are building the first national health information backbone to improve healthcare delivery and develop new healthcare applications.
About the Position: As a member of this unique team, you will combine problem-solving, data-analysis, and technical skills to identify, quantify, and solve real-world healthcare workflow problems. You will develop expert-level knowledge of how athenahealthâs billing and EMR software functionâand use this knowledge to deliver prescriptive, actionable solutions to stakeholders across the company. You will work with a rapidly growing team that is constantly challenging the boundaries of what is possible. You will directly contribute to improved financial and clinical workflow performance for providers, allowing them to focus on the business of delivering healthcare.
Responsibilities:
Lead analysis into key performance metrics. Discover â and then quantify â drivers and levers through collaboration with internal teams and your own data analysis
Translate your findings into what is relevant at a business level, and present to internal or external stakeholders. Your analysis will help athena make important decisions about product innovations, and will help providers optimize their business by using our products effectively
Strong willingness and aptitude for learning new concepts and analytical approaches
Collaborate in the development of complex analytic, statistical and methodological issues
Engineer solutions from automated discovery to an expert diagnostic system which combines our knowledge teamsâ unrivaled capabilities with technology and embedded analytics
Become an expert on athenahealthâs business processes and data structures
Develop a âtrusted advisorâ reputation across athenahealth
Qualifications:
Experience working with datasets, and strong interest in deep data analysis â you need to be a detective at heart.
Experience in at least one programming language (such as Perl, python, C/C++, java) or data extraction language (SQL) or higher level language (such as R, SAS).
Bachelorâs degree in Economics, Statistics, Engineering, Computer Science or other quantitative field, plus 2+ years of relevant experience; or Masterâs/PhD/ScD in a quantitative field. You may be a software engineer, or you might be doing this type of work off the side of your desk (or even at home).
Ability to formulate hypotheses, draw conclusions and deliver results
Sense of humor and effective interpersonal communication skills
Healthcare experience is not required; you will learn from A-team colleagues!
Experience in applying quantitative analysis to business operations is a plus but not required"
"193","193","Tue, 14 Mar 2017 04:40:05 GMT","Data Engineer Architect","Matterport","San Francisco Bay Area","CA","Matterport is shaking up 2D photos with 3D and VR immersive media content. Our team has developed an end-to-end platform that allows anyone to seamlessly create, edit, and share 3D and VR models of real-world spaces. Our products are already used by thousands of professionals in a variety of industries, including real estate, hospitality, and construction, resulting in tens of millions of users visiting spaces every month.

Whatâs this role all about? Matterport 3D and VR content offers users unparalleled immersive experiences (see https://matterport.com/gallery/) . Matterport wants to use in-product user behavior to understand customer behaviors better, make more data-driven business decisions, enrich its existing product experience, and launch new products.
Youâll join a small, newly formed Data Engineering team within a dynamic, growing startup. The team designs and builds a platform to store, move, and analyze data, as well as analytic applications for customers and partners.
Youâll also partner closely with product and engineering leadership to define customer-facing analytics, lay the foundation for data engineering internally, and collaborate to enable data driven decision-making throughout the companyâs business operations. What will you do?
Build a scalable data engineering architecture and infrastructure (such as ETLs, data exchange processes with 3rd parties, A/B testing, reliability systems etc.)
Continually acquire new data sources to develop an increasingly rich dataset that characterizes the business - from space metadata to product usage to financial data. This dataset will be the foundation for many strategic uses cases from multiple teams
Create ready-to-share dashboards that reflect key business operations and product metrics
Collaborate with product to define internal and customer-facing analytics product roadmap
Build analytic applications that help space creators and managers efficiently make great content
Create software and social glue between engineers, scientists, product managers, sales, marketing, and other analytics teams
Explore and analyze data to decipher insights to inform operations and product decisions
Partner closely with the Product team to design and implement A/B tests, understand the data, iterate and deploy winning experiences in production Who are you?
You have coded extensively (5+ years) in at least one scripting language (such as Javascript and Python etc.)
You have a strong understanding of statistics. Explaining statistical concepts to engineers, analysts, non-technical team members is not problem for you
You are data driven; always testing, measuring and learning in your work
You are extremely collaborative and communicate clearly
You are a SQL expert
You are motivated to explore new technologies and learn, and can do so without taking formal education
You have experience scaling up data infrastructure -- user event logging, ETLs, reporting and visualization, and backend data management products (such as Mixpanel, Segment.io , Google Analytics, AWS Redshift and Airflow etc.)
You have experience working in an AWS environment (RDS, RedShift, S3)
You have experience with some big data tech (Hadoop, Hive, Spark, Elasticsearch etc.)
You have a BS/MS/PhD in Computer Science, Mathematics, or Economics or equivalent experience Nice to haves
You have a strong understanding of the concepts, terminology, and measurement issues related to Web Analytics both in terms of user behavior for product development and design as well as campaign attribution, ROI for traffic acquisition and retention efforts, and A/B testing
Experience with its data science libraries
Deep understanding of modern machine learning methods for regression and classification
You have first-hand experience building personalization and/or predictive products - recommendations and insight publications - using user data.
Matterport is an Equal Opportunity Employer and values diversity. We do not discriminate on the basis of race, color, national origin, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity, or religion. We are committed to providing employees with a work environment free of discrimination and harassment."
"194","194","Tue, 07 Mar 2017 17:17:23 GMT","Business Intelligence and Analytics Senior Consultant","Capgemini Government Solutions","Washington","DC","Capgemini Government solutions is searching for a Senior Business Intelligence and Analytics Consultant to join our Justice and Homeland Security team in the DC area.

The Senior Business Intelligence and Analytics Consultant will provide evidence-based analytics, robust data solutions, and mission-critical communications management for our clients.

As a Senior Business Intelligence and Analytics Consultant, you will:

â¢ Lead program management support functions in project management, analytics, process improvement, and etc.

â¢ Translate policy and strategic initiatives into design, development and implementation of innovative data analysis, reports, metrics, processes, and tools for performance management, policy implementation and monitoring, data visualization, policy analysis,
forecasting, and reporting

â¢ Evaluate existing data tools, operational processes, and artifacts to determine gaps and develop improvement plans

â¢ Review existing reports, metrics, and analytics for automation and improvement as appropriate

â¢ Support administration of data management tools, such as SharePoint, in application design, reconciliation, and quality assurance functions, eventually expanding application design and functionality

â¢ Facilitate effective and efficient business communications between all stakeholders

â¢ Draft, edit, and manage written communications such as executive summaries, memorandums, policy memos, and briefings

â¢ Adapt within a fast-paced environment and display flexibility to adjust goals and priorities to generate on-time and high-quality deliverables that meet client requirements

â¢ Mentor less experienced team members

â¢ Support business development and opportunity pursuits

Required:

â¢ Eligible for DHS or DOJ Security Clearance, which requires U.S. Citizenship

â¢ Bachelorâs Degree or higher

â¢ Minimum of 3 years of experience in:

- Leading program management support in project management, analytics, process improvement, communications management, business intelligence, data management tools, and etc

- Quantitative analysis, reporting, metrics and process design, development and implementation

- Translating policy and strategic initiatives into quantitative data analysis and investigative data research

- Excel, Access, and PowerPoint

- Statistical reporting

- Project and process management

- Managing communications within a large matrix organization with multiple stakeholders

- Mentoring junior consultants, document project processes, and manage knowledge

Preferred:

â¢ Have current DHS, DOD Secret, or DOJ clearance

â¢ Have experience with SharePoint or Access development

â¢ Have direct interaction experience with Senior Executive level clients

â¢ Have experience in drafting responses to RFP/RFQ/RFI and white papers

Company Overview

Capgemini, one of the world's foremost providers of consulting, technology, and outsourcing services, enables its clients to transform and perform through technologies.

Capgemini Government Solutions, LLC (Capgemini GS) is a subsidiary of Capgemini focused on providing high quality Capgemini services to the U.S. Federal Government.

Capgemini GS provides equal employment opportunities (EEO) to all employees and applicants for employment. In addition to federal law requirements, Capgemini GS complies with applicable state and local laws governing nondiscrimination in employment."
